date,--,0x0x000000,Linux,Mac OS X,Unknown,Windows NT,total
2023-06-23 00:00:00,0,0,4129,2222,1081,9684,17116
2023-06-24 00:00:00,0,0,2162,1846,493,3364,7865
2023-06-25 00:00:00,0,0,2139,1929,560,3568,8196
2023-06-26 00:00:00,0,0,4516,2616,1478,12034,20644
2023-06-27 00:00:00,0,0,4211,2504,1475,11756,19946
2023-06-28 00:00:00,0,0,4066,2500,1397,11286,19249
2023-06-29 00:00:00,0,0,3905,2465,1325,11054,18749
2023-06-30 00:00:00,0,0,3597,2170,1151,9848,16766
2023-07-01 00:00:00,0,0,1920,1662,511,3654,7747
2023-07-02 00:00:00,0,0,2078,1838,496,3175,7587
2023-07-03 00:00:00,0,0,3852,2283,1528,12115,19778
2023-07-04 00:00:00,0,0,4036,2362,1553,10903,18854
2023-07-05 00:00:00,0,0,3304,2366,1367,13008,20045
2023-07-06 00:00:00,0,0,3392,2430,1445,18310,25577
2023-07-07 00:00:00,0,0,2782,2321,1199,16362,22664
2023-07-08 00:00:00,0,0,1926,1848,598,7024,11396
2023-07-09 00:00:00,0,0,1805,1863,599,5979,10246
2023-07-10 00:00:00,0,0,3194,2473,1661,18741,26069
2023-07-11 00:00:00,0,0,3248,2425,1753,20325,27751
2023-07-12 00:00:00,0,0,2918,2236,1593,17036,23783
2023-07-13 00:00:00,0,0,2763,2226,1582,17955,24526
2023-07-14 00:00:00,0,0,2443,2115,1123,15430,21111
2023-07-15 00:00:00,0,0,1697,1671,561,8518,12447
2023-07-16 00:00:00,0,0,1602,1853,534,6912,10901
2023-07-17 00:00:00,0,0,2616,2391,1329,18398,24734
2023-07-18 00:00:00,0,0,2788,2341,1532,48341,55002
2023-07-19 00:00:00,0,0,2615,2329,1542,66021,72507
2023-07-20 00:00:00,0,0,2322,2270,1451,25669,31712
2023-07-21 00:00:00,0,0,2279,2282,1137,22913,28611
2023-07-22 00:00:00,0,0,1552,1796,693,13936,17977
2023-07-23 00:00:00,0,0,1646,1810,642,13163,17261
2023-07-24 00:00:00,0,0,2582,2278,1537,26500,32897
2023-07-25 00:00:00,0,0,1698,2298,1462,26070,31528
2023-07-26 00:00:00,0,0,1569,2386,1477,25156,30588
2023-07-27 00:00:00,0,0,1654,2376,1474,24422,29926
2023-07-28 00:00:00,0,0,1578,2190,1287,22478,27533
2023-07-29 00:00:00,0,0,1235,1973,750,16541,20499
2023-07-30 00:00:00,0,0,1102,2170,791,17047,21110
2023-07-31 00:00:00,0,0,1509,2392,1863,33117,38881
2023-08-01 00:00:00,0,0,1780,2758,1765,37447,43750
2023-08-02 00:00:00,0,0,1731,3321,1925,47284,54261
2023-08-03 00:00:00,0,0,1534,3307,1894,51721,58456
2023-08-04 00:00:00,0,0,1556,3056,1673,49562,55847
2023-08-05 00:00:00,0,0,1178,2534,1096,37558,42366
2023-08-06 00:00:00,0,0,1248,2657,1010,36264,41179
2023-08-07 00:00:00,0,0,1475,3170,2065,57306,64016
2023-08-08 00:00:00,0,0,1590,3346,2051,55808,62795
2023-08-09 00:00:00,0,0,1539,3440,2053,56828,63860
2023-08-10 00:00:00,0,0,1557,3436,1994,54598,61585
2023-08-11 00:00:00,0,0,1547,3173,1778,50931,57429
2023-08-12 00:00:00,0,0,1533,2750,1214,39779,45276
2023-08-13 00:00:00,0,0,1113,3044,1107,36979,42243
2023-08-14 00:00:00,0,0,1557,3575,1826,56274,63232
2023-08-15 00:00:00,0,1,1508,3705,1782,50121,57117
2023-08-16 00:00:00,0,0,1438,3769,2231,54886,62324
2023-08-17 00:00:00,0,0,1497,3708,2173,52736,60114
2023-08-18 00:00:00,0,0,728,1514,993,29019,32254
