date,--,beta,esr,nightly,release,total
2023-06-23 00:00:00,0,2750,17116,2691,28511,51068
2023-06-24 00:00:00,0,2349,7865,1957,21721,33892
2023-06-25 00:00:00,0,1803,8196,2925,22005,34929
2023-06-26 00:00:00,0,2896,20644,3034,32011,58585
2023-06-27 00:00:00,0,3017,19946,2706,30508,56177
2023-06-28 00:00:00,0,2402,19249,1549,28813,52013
2023-06-29 00:00:00,0,2022,18749,1855,28005,50631
2023-06-30 00:00:00,0,2579,16766,1746,27746,48837
2023-07-01 00:00:00,0,2219,7747,1810,20726,32502
2023-07-02 00:00:00,0,1686,7587,1591,20424,31288
2023-07-03 00:00:00,0,2671,19778,2141,30275,54865
2023-07-04 00:00:00,0,2668,18854,2845,29435,53802
2023-07-05 00:00:00,0,2650,20045,1822,33494,58011
2023-07-06 00:00:00,0,2303,25577,1730,31888,61498
2023-07-07 00:00:00,0,2001,22664,3544,29190,57399
2023-07-08 00:00:00,0,1444,11396,1200,22744,36784
2023-07-09 00:00:00,0,1183,10246,4505,21528,37462
2023-07-10 00:00:00,0,2075,26069,1518,32403,62065
2023-07-11 00:00:00,0,1979,27751,1885,31500,63115
2023-07-12 00:00:00,0,2330,23783,2468,37245,65826
2023-07-13 00:00:00,0,2226,24526,1450,33086,61288
2023-07-14 00:00:00,0,1899,21111,1258,28503,52771
2023-07-15 00:00:00,0,1436,12447,1146,21806,36835
2023-07-16 00:00:00,0,1232,10901,1595,20182,33910
2023-07-17 00:00:00,0,2159,24734,1128,30233,58254
2023-07-18 00:00:00,0,2069,55002,1830,27310,86211
2023-07-19 00:00:00,0,1987,72507,1525,25863,101882
2023-07-20 00:00:00,0,2013,31712,1455,25436,60616
2023-07-21 00:00:00,0,1822,28611,1910,24345,56688
2023-07-22 00:00:00,0,1250,17977,1426,19362,40015
2023-07-23 00:00:00,0,1097,17261,1733,19058,39149
2023-07-24 00:00:00,0,1804,32897,1348,28381,64430
2023-07-25 00:00:00,0,1774,31528,1441,32450,67193
2023-07-26 00:00:00,0,1671,30588,1418,24609,58286
2023-07-27 00:00:00,0,1649,29926,1410,25322,58307
2023-07-28 00:00:00,0,1571,27533,1312,26447,56863
2023-07-29 00:00:00,0,1237,20499,1147,19853,42736
2023-07-30 00:00:00,0,1089,21110,1420,18898,42517
2023-07-31 00:00:00,0,1782,38881,1435,28160,70258
2023-08-01 00:00:00,0,1587,43750,1470,26883,73690
2023-08-02 00:00:00,0,1737,54261,2014,27218,85230
2023-08-03 00:00:00,0,1827,58456,1621,25431,87335
2023-08-04 00:00:00,0,1819,55847,1571,23697,82934
2023-08-05 00:00:00,0,1187,42366,1701,18067,63321
2023-08-06 00:00:00,0,1096,41179,1165,17144,60584
2023-08-07 00:00:00,0,1834,64016,1299,26100,93249
2023-08-08 00:00:00,0,1857,62795,1582,25569,91803
2023-08-09 00:00:00,0,1998,63860,1731,28255,95844
2023-08-10 00:00:00,0,1884,61585,1889,24038,89396
2023-08-11 00:00:00,0,1713,57429,3526,20981,83649
2023-08-12 00:00:00,0,1252,45276,5120,15966,67614
2023-08-13 00:00:00,0,1109,42243,2347,16272,61971
2023-08-14 00:00:00,0,1825,63232,2567,22467,90091
2023-08-15 00:00:00,0,1463,57117,1949,20314,80843
2023-08-16 00:00:00,0,1881,62324,1852,22486,88543
2023-08-17 00:00:00,0,1628,60114,2095,23955,87792
2023-08-18 00:00:00,0,1014,31418,1021,11461,44914
