date,--,0x0x000000,Android,Linux,Mac OS X,Unknown,Windows NT,total
2023-07-01 00:00:00,0,0,9514,5609,2575,17042,30467,65207
2023-07-02 00:00:00,0,0,9005,6109,2816,16891,28240,63061
2023-07-03 00:00:00,0,0,9081,9942,3993,18992,57778,99786
2023-07-04 00:00:00,0,0,8925,11205,3928,19552,53953,97563
2023-07-05 00:00:00,0,0,8850,9008,4179,19887,60189,102113
2023-07-06 00:00:00,0,0,8863,8173,4118,18413,64412,103979
2023-07-07 00:00:00,0,0,8728,8379,3836,18438,58951,98332
2023-07-08 00:00:00,0,0,9146,5130,2794,17145,35199,69414
2023-07-09 00:00:00,0,0,9605,7907,2944,17949,32776,71181
2023-07-10 00:00:00,0,0,9841,7502,4382,20038,68535,110298
2023-07-11 00:00:00,0,0,9612,7711,4312,20826,68243,110704
2023-07-12 00:00:00,0,0,9655,7546,4193,20309,73893,115596
2023-07-13 00:00:00,0,0,9970,6553,4070,19716,67960,108269
2023-07-14 00:00:00,0,0,9454,5782,3647,18021,57836,94740
2023-07-15 00:00:00,0,0,10008,4486,2647,19855,36073,73069
2023-07-16 00:00:00,0,0,9279,4476,2855,16519,32383,65512
2023-07-17 00:00:00,0,0,9480,6038,4120,18985,64121,102744
2023-07-18 00:00:00,0,0,9401,6145,4105,19847,91849,131347
2023-07-19 00:00:00,0,0,9386,6087,4081,19335,106841,145730
2023-07-20 00:00:00,0,0,9411,5501,3935,18504,66011,103362
2023-07-21 00:00:00,0,0,9700,5518,3893,16816,61149,97076
2023-07-22 00:00:00,0,0,9963,3919,2848,17647,39107,73484
2023-07-23 00:00:00,0,0,9767,3978,2828,16657,37971,71201
2023-07-24 00:00:00,0,0,9234,5636,4091,18636,70983,108580
2023-07-25 00:00:00,0,0,13542,9832,4138,19977,68300,115789
2023-07-26 00:00:00,0,0,17648,3805,4254,17889,65137,108733
2023-07-27 00:00:00,0,0,17739,3717,4291,17836,64678,108261
2023-07-28 00:00:00,0,0,17868,3463,4137,17637,62439,105544
2023-07-29 00:00:00,0,0,18097,2872,3157,17648,42701,84475
2023-07-30 00:00:00,0,0,18357,2983,3385,17923,41669,84317
2023-07-31 00:00:00,0,0,18039,3777,4773,19212,76942,122743
2023-08-01 00:00:00,0,0,17027,4261,4696,19256,79416,124656
2023-08-02 00:00:00,0,0,17030,3845,5397,18618,90729,135619
2023-08-03 00:00:00,0,0,16686,3945,5301,17439,92769,136140
2023-08-04 00:00:00,0,0,15054,3816,4728,17354,88029,128981
2023-08-05 00:00:00,0,0,14030,2774,3687,18111,62539,101141
2023-08-06 00:00:00,0,0,14132,2997,3762,17862,59564,98317
2023-08-07 00:00:00,0,0,13288,3757,5069,19822,99702,141638
2023-08-08 00:00:00,0,0,13264,3948,5398,19600,96833,139043
2023-08-09 00:00:00,0,0,31329,3739,5656,19563,101613,161900
2023-08-10 00:00:00,0,0,36379,3839,5432,19074,93162,157886
2023-08-11 00:00:00,0,0,37821,4459,5109,17326,84901,149616
2023-08-12 00:00:00,0,0,40184,3705,3999,17953,64922,130763
2023-08-13 00:00:00,0,0,39442,3063,5086,18494,58292,124377
2023-08-14 00:00:00,0,0,38705,4061,5486,18313,92343,158908
2023-08-15 00:00:00,0,1,37978,3969,5474,18568,81167,147157
2023-08-16 00:00:00,0,0,37698,3992,5585,18927,91097,157299
2023-08-17 00:00:00,0,0,38448,4086,5516,18524,90416,156990
2023-08-18 00:00:00,0,0,37450,3644,5115,18807,85998,151014
2023-08-19 00:00:00,0,0,37610,2730,3970,18249,62620,125179
2023-08-20 00:00:00,0,0,37766,3009,4185,19522,56951,121433
2023-08-21 00:00:00,0,0,37385,4233,6285,21567,95271,164741
2023-08-22 00:00:00,0,0,36769,4094,5737,21499,92811,160910
2023-08-23 00:00:00,0,0,36134,3936,5837,23021,91862,160790
2023-08-24 00:00:00,0,0,36498,3838,6045,21586,91493,159460
2023-08-25 00:00:00,0,0,36995,3543,5432,20653,85713,152336
2023-08-26 00:00:00,0,0,36805,2747,3969,20602,60994,125117
2023-08-27 00:00:00,0,0,35939,2785,4223,21343,57325,121615
2023-08-28 00:00:00,0,0,36353,3918,6055,23701,100141,170168
2023-08-29 00:00:00,0,0,35738,3885,6290,22507,96457,164877
2023-08-30 00:00:00,0,0,35605,4116,6511,23381,100262,169875
2023-08-31 00:00:00,0,0,35546,3805,6377,22941,98438,167107
2023-09-01 00:00:00,0,0,35241,4174,5836,22628,90722,158601
