date,--,Windows 10,Windows 11,Windows 7,Windows 8,Windows 8.1,Windows Vista,Windows XP,total
2023-07-01 00:00:00,0,2520,213,801,8,111,1,0,3654
2023-07-02 00:00:00,0,2252,238,629,7,49,0,0,3175
2023-07-03 00:00:00,0,9765,642,1396,17,295,0,0,12115
2023-07-04 00:00:00,0,8721,522,1404,18,238,0,0,10903
2023-07-05 00:00:00,0,9812,657,2185,14,340,0,0,13008
2023-07-06 00:00:00,0,9629,691,7511,48,427,4,0,18310
2023-07-07 00:00:00,0,8216,529,7254,63,300,0,0,16362
2023-07-08 00:00:00,0,2395,267,4197,35,130,0,0,7024
2023-07-09 00:00:00,0,2295,228,3301,17,135,3,0,5979
2023-07-10 00:00:00,0,10048,673,7538,38,444,0,0,18741
2023-07-11 00:00:00,0,9789,615,9529,29,363,0,0,20325
2023-07-12 00:00:00,0,9497,620,6527,53,339,0,0,17036
2023-07-13 00:00:00,0,9333,619,7585,31,387,0,0,17955
2023-07-14 00:00:00,0,6992,555,7565,26,292,0,0,15430
2023-07-15 00:00:00,0,2538,265,5435,37,243,0,0,8518
2023-07-16 00:00:00,0,2259,251,4184,35,183,0,0,6912
2023-07-17 00:00:00,0,9298,609,7993,49,449,0,0,18398
2023-07-18 00:00:00,0,9437,672,36351,164,1717,0,0,48341
2023-07-19 00:00:00,0,8967,730,53507,243,2574,0,0,66021
2023-07-20 00:00:00,0,8719,613,13917,226,2193,1,0,25669
2023-07-21 00:00:00,0,7583,510,12592,218,2006,1,3,22913
2023-07-22 00:00:00,0,2348,264,9875,161,1288,0,0,13936
2023-07-23 00:00:00,0,2256,275,8910,289,1427,6,0,13163
2023-07-24 00:00:00,0,9539,697,13857,269,2138,0,0,26500
2023-07-25 00:00:00,0,9289,633,13802,274,2068,3,1,26070
2023-07-26 00:00:00,0,8762,641,13513,208,2027,5,0,25156
2023-07-27 00:00:00,0,8796,634,12880,244,1859,9,0,24422
2023-07-28 00:00:00,0,7723,569,12208,240,1736,2,0,22478
2023-07-29 00:00:00,0,2517,620,11504,240,1660,0,0,16541
2023-07-30 00:00:00,0,2214,276,12442,269,1845,1,0,17047
2023-07-31 00:00:00,0,9290,647,19965,394,2820,1,0,33117
2023-08-01 00:00:00,0,9323,726,23544,532,3322,0,0,37447
2023-08-02 00:00:00,0,9716,766,31347,692,4762,0,1,47284
2023-08-03 00:00:00,0,9438,775,35669,734,5105,0,0,51721
2023-08-04 00:00:00,0,8206,681,35119,711,4845,0,0,49562
2023-08-05 00:00:00,0,2631,329,30132,588,3875,3,0,37558
2023-08-06 00:00:00,0,2582,282,28752,605,4041,2,0,36264
2023-08-07 00:00:00,0,9685,749,40352,804,5715,1,0,57306
2023-08-08 00:00:00,0,9039,716,39851,827,5373,0,2,55808
2023-08-09 00:00:00,0,9391,746,40303,827,5560,0,1,56828
2023-08-10 00:00:00,0,8564,724,39168,756,5386,0,0,54598
2023-08-11 00:00:00,0,7411,585,37031,756,5147,1,0,50931
2023-08-12 00:00:00,0,2643,373,31872,721,4170,0,0,39779
2023-08-13 00:00:00,0,2484,365,29484,636,4010,0,0,36979
2023-08-14 00:00:00,0,8362,695,40819,898,5498,2,0,56274
2023-08-15 00:00:00,0,6910,582,36789,755,5085,0,0,50121
2023-08-16 00:00:00,0,8692,808,39028,851,5506,1,0,54886
2023-08-17 00:00:00,0,8443,718,37246,803,5526,0,0,52736
2023-08-18 00:00:00,0,7875,665,36207,866,5353,2,0,50968
2023-08-19 00:00:00,0,2552,307,31573,773,4315,2,0,39522
2023-08-20 00:00:00,0,2474,307,27655,682,4196,0,0,35314
2023-08-21 00:00:00,0,9873,732,38893,834,5764,1,0,56097
2023-08-22 00:00:00,0,9359,776,38854,906,5777,0,0,55672
2023-08-23 00:00:00,0,9281,817,38849,782,5618,0,0,55347
2023-08-24 00:00:00,0,9548,845,38182,841,5406,0,0,54822
2023-08-25 00:00:00,0,8639,741,36178,892,5421,4,0,51875
2023-08-26 00:00:00,0,2761,314,31316,754,4215,1,0,39361
2023-08-27 00:00:00,0,2760,299,27975,768,4168,4,0,35974
2023-08-28 00:00:00,0,10688,885,40524,977,6296,6,0,59376
2023-08-29 00:00:00,0,10485,765,39344,921,6288,1,0,57804
2023-08-30 00:00:00,0,10415,855,40707,982,6616,1,0,59576
2023-08-31 00:00:00,0,10381,865,38890,1033,6574,0,0,57743
2023-09-01 00:00:00,0,8965,741,36185,926,6047,18,0,52882
