date,--,Windows 10,Windows 11,Windows 7,Windows 8,Windows 8.1,Windows Unknown,Windows Vista,Windows XP,total
2023-07-01 00:00:00,0,10509,2035,3698,100,698,0,0,0,17040
2023-07-02 00:00:00,0,10188,2153,3380,85,691,0,0,0,16497
2023-07-03 00:00:00,0,15810,2783,4916,144,865,0,0,1,24519
2023-07-04 00:00:00,0,14985,2690,4856,122,865,0,0,0,23518
2023-07-05 00:00:00,0,17929,3119,5627,120,895,0,0,0,27690
2023-07-06 00:00:00,0,17289,2973,5681,106,904,0,0,0,26953
2023-07-07 00:00:00,0,15634,2915,5246,98,799,0,0,0,24692
2023-07-08 00:00:00,0,11851,2463,4072,98,708,0,0,0,19192
2023-07-09 00:00:00,0,11578,2295,3675,110,628,1,0,0,18287
2023-07-10 00:00:00,0,17807,3164,5604,129,916,0,1,0,27621
2023-07-11 00:00:00,0,17341,3215,5302,128,882,0,1,0,26869
2023-07-12 00:00:00,0,22864,3422,5241,129,947,0,0,0,32603
2023-07-13 00:00:00,0,19785,3097,4896,125,924,0,0,0,28827
2023-07-14 00:00:00,0,16326,2992,4405,113,779,0,1,0,24616
2023-07-15 00:00:00,0,11746,2230,3878,102,648,0,0,0,18604
2023-07-16 00:00:00,0,11240,2188,3447,83,575,0,0,0,17533
2023-07-17 00:00:00,0,17362,3020,4782,102,842,0,0,0,26108
2023-07-18 00:00:00,0,15776,2773,4114,120,739,0,0,0,23522
2023-07-19 00:00:00,0,14803,2778,3797,97,686,0,0,0,22161
2023-07-20 00:00:00,0,14868,2835,3401,96,617,0,0,0,21817
2023-07-21 00:00:00,0,14051,2847,3202,83,547,0,0,0,20730
2023-07-22 00:00:00,0,10807,2566,2755,67,408,0,0,0,16603
2023-07-23 00:00:00,0,10684,2604,2489,85,481,0,0,0,16343
2023-07-24 00:00:00,0,16811,3579,3513,85,661,0,0,0,24649
2023-07-25 00:00:00,0,15995,3557,3306,79,633,0,0,0,23570
2023-07-26 00:00:00,0,14479,2787,3549,81,602,0,0,0,21498
2023-07-27 00:00:00,0,15025,3090,3406,111,562,0,1,0,22195
2023-07-28 00:00:00,0,16216,3227,3336,97,583,0,0,0,23459
2023-07-29 00:00:00,0,12024,2545,2555,77,442,0,0,0,17643
2023-07-30 00:00:00,0,11382,2562,2194,73,411,0,0,0,16622
2023-07-31 00:00:00,0,17556,3287,3074,100,579,0,0,0,24596
2023-08-01 00:00:00,0,17105,3488,2547,59,515,0,0,0,23714
2023-08-02 00:00:00,0,18230,3684,1777,58,406,0,0,0,24155
2023-08-03 00:00:00,0,17432,3271,1284,49,368,0,1,0,22405
2023-08-04 00:00:00,0,16462,3013,1076,36,252,0,0,0,20839
2023-08-05 00:00:00,0,12311,2478,844,31,207,0,0,0,15871
2023-08-06 00:00:00,0,11416,2610,742,23,212,0,0,0,15003
2023-08-07 00:00:00,0,18155,3453,1072,30,260,0,0,0,22970
2023-08-08 00:00:00,0,17796,3410,992,43,246,0,0,0,22487
2023-08-09 00:00:00,0,19667,3780,875,37,581,0,0,0,24940
2023-08-10 00:00:00,0,16452,3336,886,32,195,0,0,0,20901
2023-08-11 00:00:00,0,14352,2857,749,41,198,0,0,0,18197
2023-08-12 00:00:00,0,10686,2379,632,24,175,0,0,0,13896
2023-08-13 00:00:00,0,10131,2307,541,19,174,0,0,0,13172
2023-08-14 00:00:00,0,15178,3067,890,135,232,0,0,0,19502
2023-08-15 00:00:00,0,13416,2919,748,36,204,0,0,0,17323
2023-08-16 00:00:00,0,15164,3078,817,25,201,0,0,0,19285
2023-08-17 00:00:00,0,16618,3341,715,27,194,0,0,0,20895
2023-08-18 00:00:00,0,15331,3176,692,27,163,0,1,0,19390
2023-08-19 00:00:00,0,11587,2522,592,19,138,0,0,0,14858
2023-08-20 00:00:00,0,10783,2383,563,19,121,0,0,0,13869
2023-08-21 00:00:00,0,16387,3235,716,24,217,0,0,0,20579
2023-08-22 00:00:00,0,15215,3045,734,39,195,0,1,0,19229
2023-08-23 00:00:00,0,15087,3046,777,21,180,0,0,0,19111
2023-08-24 00:00:00,0,15277,3086,679,20,195,0,0,0,19257
2023-08-25 00:00:00,0,14064,3030,661,17,154,0,0,0,17926
2023-08-26 00:00:00,0,10331,2407,544,18,100,0,0,0,13400
2023-08-27 00:00:00,0,10386,2460,560,18,128,0,1,0,13553
2023-08-28 00:00:00,0,16321,3572,822,30,176,0,0,0,20921
2023-08-29 00:00:00,0,16097,3342,660,32,161,0,0,0,20292
2023-08-30 00:00:00,0,17706,3641,604,23,186,0,0,0,22160
2023-08-31 00:00:00,0,17017,3374,616,27,181,0,0,0,21215
2023-09-01 00:00:00,0,15677,3199,639,18,154,0,0,0,19687
